,Name,Category,City,Area,Group
73,Tea Garden Restaurant,Chinese Restaurant,Del Rey,Palms - Mar Vista - Del Rey,3
74,Cristal Bakery,Bakery,Del Rey,Palms - Mar Vista - Del Rey,3
75,Salt & Straw,Ice Cream Shop,Venice,Venice,1
76,South Santa Monica Beach,Beach,Venice,Venice,1
77,Ocean Park Beach,Beach,Venice,Venice,1
78,Post & Beam,New American Restaurant,Baldwin Hills,West Adams - Baldwin Hills - Leimert,2
79,Leimert Plaza Park,Park,Baldwin Hills,West Adams - Baldwin Hills - Leimert,2
80,Krispy Kreme Doughnuts,Donut Shop,Baldwin Hills,West Adams - Baldwin Hills - Leimert,2
81,Moonstone Beach,Beach,Leimert,West Adams - Baldwin Hills - Leimert,2
82,Moonstone Beach Boardwalk,Trail,Leimert,West Adams - Baldwin Hills - Leimert,2
83,Sandys Deli Bakery,Deli / Bodega,Leimert,West Adams - Baldwin Hills - Leimert,2
84,Brouwerij West,Brewery,San Pedro,San Pedro,3
85,Busy Bee Market,Sandwich Place,San Pedro,San Pedro,3
86,Point Fermin Park,Park,San Pedro,San Pedro,3
87,MacLeod Ale Brewing Co.,Brewery,Van Nuys,Van Nuys - North Sherman Oaks,3
88,Phở Sô 1,Vietnamese Restaurant,Van Nuys,Van Nuys - North Sherman Oaks,3
89,Nat's Early Bite Coffee Shop,Diner,Van Nuys,Van Nuys - North Sherman Oaks,3
90,Mendocino Farms,Sandwich Place,Sherman Oaks,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
91,Burke Williams Spa,Spa,Sherman Oaks,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
92,mizlala,Middle Eastern Restaurant,Sherman Oaks,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
93,Salt & Straw,Ice Cream Shop,Studio City,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
94,Fryman Canyon Park,Park,Studio City,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
95,Studio City Farmers Market,Farmers Market,Studio City,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
96,Lakeside Golf Club,Golf Course,Toluca Lake,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
97,New York Backlot,Theme Park,Toluca Lake,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
98,Universal Studios Backlot,Theme Park,Toluca Lake,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
99,Lake Hollywood Reservoir,Reservoir,Cahuenga Pass,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
100,Lake Hollywood Park,Park,Cahuenga Pass,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
101,Hollywood Bowl Overlook,Scenic Lookout,Cahuenga Pass,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
102,Pantages Theatre,Theater,Hollywood,Hollywood,3
103,Amoeba Music,Record Shop,Hollywood,Hollywood,3
104,Equinox Hollywood,Gym,Hollywood,Hollywood,3
105,Botanica,American Restaurant,Silver Lake,Silver Lake - Echo Park - Elysian Valley,3
106,Milk,Ice Cream Shop,Silver Lake,Silver Lake - Echo Park - Elysian Valley,3
107,L&E Oyster Bar,Seafood Restaurant,Silver Lake,Silver Lake - Echo Park - Elysian Valley,3
108,Ostrich Farm,American Restaurant,Echo Park,Silver Lake - Echo Park - Elysian Valley,3
109,Pho Siam Thai Spa,Massage Studio,Echo Park,Silver Lake - Echo Park - Elysian Valley,3
110,Leo's Tacos,Taco Place,Echo Park,Silver Lake - Echo Park - Elysian Valley,3
111,The Mark,Deli / Bodega,Elysian Valley,Silver Lake - Echo Park - Elysian Valley,3
112,Artisan Coffee,Coffee Shop,Elysian Valley,Silver Lake - Echo Park - Elysian Valley,3
113,Antelope Lake,Lake,Elysian Valley,Silver Lake - Echo Park - Elysian Valley,3
